ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,7163171,0,0,1685,15
024,001,5291893,0,0,0,0
025,001,2707,355,0,137,0
027,001,5887,27,57,87,0
074,001,58764,1962,301,748,0
078,001,7699,2809,2886,565,0
079,001,675,70,84,12,0
085,001,34415352,4646562,2653429,925458,21579363
093,001,4718488,175962,182248,77991,600400
094,001,29272,5547,2412,1703,0
097,001,3313,742,875,307,0
098,001,31263,1110,2526,315,14393
102,001,6638,274,469,128,0
106,001,3691,0,0,0,2798
108,001,2307741,102795,151045,46887,0
111,001,161726,7192,13332,1381,116912
113,001,565156,2087,15343,8450,0
115,001,42161,0,0,0,0
127,001,21436,0,0,0,0
135,001,20452,0,0,0,0
139,001,13509,0,0,0,0
145,001,0,-4947494,0,0,0
146,001,0,0,-3025007,0,0
149,001,0,0,0,-19859,0
150,001,3416,0,0,0,0
151,001,0,0,0,-425988,0
154,001,0,0,0,-620007,0
160,001,4506998,0,0,0,0
177,001,35056,0,0,0,0
180,001,1156,0,0,0,0
190,001,59417620,0,0,0,22313881
201,001,40639420,0,0,0,0
202,001,79410167,0,0,0,0
203,001,4474449,0,0,0,0
204,001,454,0,0,0,0
209,001,124524490,0,0,0,0
210,001,183942110,0,0,0,0
002,002,2032604,40228,3428,70075,130647
024,002,1068173,0,0,0,0
025,002,306,199,0,50,0
074,002,154026,9863,1053,3489,0
078,002,882,0,0,12,0
079,002,1335,192,232,23,0
085,002,2980791,556537,413638,328236,1024421
093,002,235542,18399,27390,6084,29971
094,002,81707,2672,3773,1357,0
097,002,406,67,125,102,0
098,002,30121,1211,2505,343,13867
106,002,0,0,0,0,0
108,002,138482,13772,15488,5180,0
111,002,5060,399,560,57,3658
113,002,282660,827,2450,2923,0
115,002,16390,0,0,0,0
127,002,41938,0,0,0,0
135,002,791,0,0,0,0
139,002,7671,0,0,0,0
145,002,0,-644366,0,0,0
146,002,0,0,-470642,0,0
149,002,0,0,0,-8124,0
150,002,565,0,0,0,0
151,002,0,0,0,-346051,0
154,002,0,0,0,-63756,0
160,002,596699,0,0,0,0
163,002,675,0,0,0,0
171,002,1293,0,0,0,0
177,002,13707,0,0,0,0
180,002,3058,0,0,0,0
190,002,7694882,0,0,0,1202564
201,002,7849539,0,0,0,0
202,002,3674294,0,0,0,0
203,002,63836,0,0,0,0
204,002,67,0,0,0,0
209,002,11587736,0,0,0,0
210,002,19282618,0,0,0,0
003,003,47949,4,0,14,0
024,003,109233,0,0,0,0
074,003,1784,12,3,5,0
079,003,203,34,71,7,0
085,003,3938,671,418,562,0
093,003,2386,0,0,0,304
094,003,164,34,29,0,0
098,003,124,0,0,0,57
108,003,8088,136,232,50,0
111,003,5662,112,504,37,4093
113,003,4386,236,56,64,0
115,003,107,0,0,0,0
127,003,53,0,0,0,0
139,003,357,0,0,0,0
145,003,0,-1239,0,0,0
146,003,0,0,-1313,0,0
151,003,0,0,0,-652,0
154,003,0,0,0,-87,0
160,003,13227,0,0,0,0
180,003,80,0,0,0,0
190,003,197741,0,0,0,4454
201,003,174445,0,0,0,0
202,003,256038,0,0,0,0
203,003,4370,0,0,0,0
204,003,52,0,0,0,0
209,003,434905,0,0,0,0
210,003,632646,0,0,0,0
004,004,4208978,1639,0,7589,0
024,004,1350834,0,0,0,0
074,004,1005,19,3,8,0
079,004,780,58,79,29,0
085,004,2587408,376888,164235,234083,776713
093,004,102203,10924,13695,4425,13005
094,004,27559,1996,2102,1930,0
098,004,15485,513,772,193,7129
108,004,492979,12022,21566,4691,0
111,004,15714,861,1533,104,11360
113,004,34602,8269,4911,2321,0
115,004,10462,0,0,0,0
127,004,2230,0,0,0,0
139,004,1263,0,0,0,0
145,004,0,-413189,0,0,0
146,004,0,0,-208896,0,0
149,004,0,0,0,-1373,0
150,004,12030,0,0,0,0
151,004,0,0,0,-119610,0
154,004,0,0,0,-134390,0
160,004,1679005,0,0,0,0
180,004,168,0,0,0,0
190,004,10542705,0,0,0,808207
201,004,6842495,0,0,0,0
202,004,5924774,0,0,0,0
203,004,262547,0,0,0,0
204,004,47,0,0,0,0
209,004,13029863,0,0,0,0
210,004,23572568,0,0,0,0
005,005,293387,11684,0,323,200289
017,005,174758,375,0,1224,147251
024,005,41664,0,0,0,0
074,005,23788,86,14,33,0
079,005,1713,204,957,42,0
085,005,97711,6848,4680,5565,0
093,005,8607,575,595,369,1095
094,005,11471,1130,1136,293,0
098,005,14544,449,582,48,6696
108,005,71325,4098,8271,1927,0
111,005,1888,0,0,0,1365
113,005,404,0,0,0,0
127,005,16970,0,0,0,0
145,005,0,-25449,0,0,0
146,005,0,0,-16235,0,0
149,005,0,0,0,-220,0
150,005,353,0,0,0,0
151,005,0,0,0,-8276,0
154,005,0,0,0,-1328,0
160,005,17879,0,0,0,0
180,005,455,0,0,0,0
190,005,776917,0,0,0,356696
201,005,261124,0,0,0,0
202,005,587012,0,0,0,0
203,005,20766,0,0,0,0
204,005,9,0,0,0,0
209,005,868911,0,0,0,0
210,005,1645828,0,0,0,0
006,006,1025514,37113,41994,4923,545988
024,006,524715,0,0,0,0
027,006,195,53,38,11,0
074,006,14424,464,65,174,0
079,006,8085,843,854,61,0
085,006,415594,80023,61766,85954,0
093,006,310835,16223,22398,4197,39552
094,006,31265,1332,1315,281,0
097,006,128,0,62,0,0
098,006,15962,534,762,163,7349
102,006,1141,125,390,276,0
108,006,127621,8440,14996,3178,0
111,006,1318,0,0,0,953
113,006,58595,3426,1400,1075,0
115,006,1309,0,0,0,0
127,006,4064,0,0,0,0
135,006,1609,0,0,0,0
139,006,1672,0,0,0,0
145,006,0,-148576,0,0,0
146,006,0,0,-146040,0,0
149,006,0,0,0,-1008,0
150,006,3030,0,0,0,0
151,006,0,0,0,-65261,0
154,006,0,0,0,-34024,0
160,006,241080,0,0,0,0
163,006,101,0,0,0,0
177,006,8739,0,0,0,0
180,006,1323,0,0,0,0
190,006,2798319,0,0,0,593842
201,006,1027173,0,0,0,0
202,006,2600428,0,0,0,0
203,006,23128,0,0,0,0
204,006,35,0,0,0,0
209,006,3650764,0,0,0,0
210,006,6449083,0,0,0,0
001,007,750704,0,0,2379,0
006,007,808755,32056,67954,3831,0
017,007,19777374,959501,2172305,304803,351493
024,007,3892452,0,0,0,0
027,007,43222,7554,8417,1239,0
049,007,10313,164,0,346,0
074,007,107718,8605,757,2663,0
078,007,903,0,0,0,0
079,007,755086,44417,95246,11972,0
082,007,294323,4443,3338,3920,0
084,007,728398,24245,6570,11402,647507
