ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,1469465,0,0,413,0
024,001,2624693,0,0,0,0
025,001,108,7,0,1,0
027,001,415,31,14,7,0
074,001,69164,9124,3703,2380,0
078,001,2622,439,164,103,58
079,001,6862,378,819,172,135
085,001,2283746,131884,129528,69513,1631114
093,001,748788,44120,48836,633,2535
094,001,3163,127,175,37,0
098,001,5392,810,1022,187,982
102,001,2633,525,262,162,0
106,001,1370,29,53,43,154
108,001,160755,6089,11104,2450,5094
111,001,1822,179,152,55,897
113,001,10437,11,0,2,49
115,001,1855,0,0,0,0
123,001,106,0,0,0,0
127,001,718,0,0,0,0
139,001,965,0,0,0,0
145,001,0,-193753,0,0,0
146,001,0,0,-195832,0,0
149,001,0,0,0,-2323,0
150,001,417,0,0,0,0
151,001,0,0,0,-56554,0
154,001,0,0,0,-17281,0
160,001,923008,0,0,0,0
163,001,732,0,0,0,0
177,001,9421,0,0,0,0
180,001,38817,0,0,0,29144
190,001,6773964,0,0,0,1327399
201,001,4731143,0,0,0,0
202,001,31830936,0,0,0,0
203,001,768346,0,0,0,0
204,001,222875,0,0,0,0
209,001,39146810,0,0,0,0
210,001,45920774,0,0,0,0
220,001,45920774,0,0,0,1327395
002,002,105372,939,0,199,2753
024,002,1037863,0,0,0,0
025,002,21,1,0,0,0
074,002,126805,2799,1840,852,0
078,002,517,87,30,20,12
079,002,4483,248,536,112,94
085,002,68401,3842,2906,1356,27644
093,002,116391,5965,6586,2645,1098
094,002,702,29,40,8,0
098,002,13830,2076,2620,478,2518
106,002,920,19,35,28,103
108,002,66109,2510,3721,810,18388
111,002,16146,530,447,159,2651
113,002,16426,40,0,9,159
115,002,3518,0,0,0,0
127,002,21929,0,0,0,0
135,002,4264,0,0,0,0
139,002,43861,0,0,0,0
145,002,0,-19085,0,0,0
146,002,0,0,-18761,0,0
149,002,0,0,0,-1567,0
150,002,3364,0,0,0,0
151,002,0,0,0,-3848,0
154,002,0,0,0,-1261,0
158,002,320620,0,0,0,0
160,002,68831,0,0,0,0
163,002,585,0,0,0,0
170,002,5897,0,0,0,0
177,002,6648,0,0,0,0
180,002,9480,0,0,0,7118
190,002,1783408,0,0,0,44680
201,002,996168,0,0,0,0
202,002,4167584,0,0,0,0
203,002,51982,0,0,0,0
204,002,35062,0,0,0,0
209,002,5530371,0,0,0,0
210,002,7313779,0,0,0,0
220,002,7313779,0,0,0,44680
003,003,13850,90,0,7,0
024,003,82798,0,0,0,0
074,003,75378,9836,3918,2431,0
079,003,2071,122,248,50,26
085,003,4841,394,307,127,131
093,003,3720,276,299,114,9
094,003,21,0,2,0,0
098,003,507,78,97,19,92
108,003,1518,66,111,23,27
111,003,5044,159,136,57,44
113,003,2603,0,0,0,1
115,003,76,0,0,0,0
127,003,83,0,0,0,0
139,003,3861,0,0,0,0
145,003,0,-11021,0,0,0
146,003,0,0,-5118,0,0
149,003,0,0,0,-271,0
150,003,26,0,0,0,0
151,003,0,0,0,-2043,0
154,003,0,0,0,-514,0
160,003,209,0,0,0,0
163,003,2271,0,0,0,0
180,003,1537,0,0,0,1157
190,003,188851,0,0,0,683
201,003,66910,0,0,0,0
202,003,689270,0,0,0,0
203,003,13719,0,0,0,0
204,003,6390,0,0,0,0
209,003,787852,0,0,0,0
210,003,976703,0,0,0,0
220,003,976703,0,0,0,683
004,004,5776,6,0,18,0
024,004,1550305,0,0,0,0
074,004,8924,1182,483,298,0
079,004,6685,396,799,170,96
085,004,304383,8112,6031,2695,152348
093,004,118925,8142,8626,1750,736
094,004,5027,205,279,61,0
108,004,58411,2208,4034,893,16262
111,004,2155,214,181,64,1061
113,004,3515,33,0,8,132
115,004,716,0,0,0,0
127,004,3037,0,0,0,0
139,004,1809,0,0,0,0
145,004,0,-20498,0,0,0
146,004,0,0,-20433,0,0
149,004,0,0,0,-284,0
150,004,2751,0,0,0,0
151,004,0,0,0,-4450,0
154,004,0,0,0,-1223,0
160,004,10437,0,0,0,0
163,004,380,0,0,0,0
180,004,12755,0,0,0,9577
190,004,1866032,0,0,0,63871
201,004,1453375,0,0,0,0
202,004,8036664,0,0,0,0
203,004,73371,0,0,0,0
204,004,90107,0,0,0,0
209,004,9883476,0,0,0,0
210,004,11749508,0,0,0,0
220,004,11749508,0,0,0,63871
005,005,16987,145,0,125,0
024,005,51791,0,0,0,0
074,005,1549,204,82,50,0
079,005,581,34,68,15,8
085,005,8526,632,502,217,4276
093,005,2820,208,231,88,10
094,005,21,1,2,0,0
097,005,53,0,0,0,0
108,005,1172,43,82,19,326
111,005,1002,127,84,29,494
113,005,282,0,0,0,1
115,005,38,0,0,0,0
127,005,83,0,0,0,0
145,005,0,-1394,0,0,0
146,005,0,0,-1051,0,0
149,005,0,0,0,-184,0
150,005,38,0,0,0,0
151,005,0,0,0,-257,0
154,005,0,0,0,-102,0
160,005,100,0,0,0,0
180,005,3262,0,0,0,2449
190,005,87485,0,0,0,5613
201,005,69067,0,0,0,0
202,005,510572,0,0,0,0
203,005,17637,0,0,0,0
204,005,4456,0,0,0,0
209,005,602552,0,0,0,0
210,005,690037,0,0,0,0
220,005,690037,0,0,0,5613
006,006,49962,1449,1269,533,3976
024,006,357433,0,0,0,0
074,006,28290,3733,1515,929,0
079,006,3822,228,457,94,55
085,006,132297,5774,4635,1946,36289
093,006,8866,655,725,808,85
094,006,179,8,10,2,0
097,006,59,0,0,0,0
098,006,597,90,114,21,110
102,006,513,105,52,32,0
108,006,3525,136,244,52,979
111,006,210,26,18,4,103
113,006,429,1,0,1,8
115,006,244,0,0,0,0
127,006,717,0,0,0,0
139,006,784,0,0,0,0
145,006,0,-12205,0,0,0
146,006,0,0,-9039,0,0
149,006,0,0,0,-249,0
150,006,1335,0,0,0,0
151,006,0,0,0,-3226,0
154,006,0,0,0,-947,0
160,006,18937,0,0,0,0
163,006,121,0,0,0,0
177,006,5028,0,0,0,0
180,006,2080,0,0,0,1564
190,006,538072,0,0,0,37340
201,006,309531,0,0,0,0
202,006,2743212,0,0,0,0
203,006,57238,0,0,0,0
204,006,54249,0,0,0,0
209,006,3241586,0,0,0,0
210,006,3779658,0,0,0,0
220,006,3779658,0,0,0,37340
001,007,110767,0,0,678,0
006,007,16710,484,264,49,0
007,007,964157,30349,38044,25106,335
008,007,11967,849,694,375,0
024,007,382480,0,0,0,0
027,007,10122,802,326,154,0
074,007,27744,3663,1481,908,0
079,007,51660,2666,6173,1290,866
084,007,32457,2352,674,526,7773
085,007,1296821,155762,154881,37988,894370
093,007,213381,15721,17357,4375,523
094,007,2537,102,141,30,0
097,007,119,0,0,0,0
098,007,7725,574,725,132,698
102,007,1189,236,121,71,0
108,007,72773,2761,5032,1112,20249
111,007,2194,283,184,62,1081
113,007,7707,74,0,14,290
127,007,4471,0,0,0,0
139,007,1910,0,0,0,0
145,007,0,-216678,0,0,0
146,007,0,0,-226097,0,0
149,007,0,0,0,-1769,0
150,007,22133,0,0,0,0
151,007,0,0,0,-50612,0
154,007,0,0,0,-20419,0
156,007,0,0,0,-70,0
160,007,77212,0,0,0,0
163,007,661,0,0,0,0
180,007,67500,0,0,0,54226
190,007,2868289,0,0,0,779567
201,007,1111757,0,0,0,0
