ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,9678269,0,0,2564,337
024,001,10712840,0,0,0,0
025,001,5280,1264,0,240,0
027,001,10230,1618,1117,341,0
074,001,67650,1600,246,610,0
078,001,12540,976,1015,196,0
079,001,1155,97,157,21,0
085,001,17410618,2532964,1597516,1239893,10931814
093,001,803008,81774,120201,28215,469
094,001,244627,10093,11596,5677,0
097,001,6270,559,805,231,0
098,001,47170,4762,8045,1214,11639
102,001,11550,252,638,455,0
106,001,5948,155,445,163,243
108,001,409036,14449,26019,5632,3809
111,001,232873,2857,16099,1060,68681
113,001,603154,1320,9625,11575,0
115,001,62205,0,0,0,0
127,001,34815,0,0,0,0
135,001,20625,0,0,0,0
139,001,48830,0,0,0,0
144,001,37,0,0,0,0
145,001,0,-2654740,0,0,0
146,001,0,0,-1793524,0,0
149,001,0,0,0,-9735,0
150,001,5775,0,0,0,0
151,001,0,0,0,-575054,0
154,001,0,0,0,-713298,0
160,001,3745277,0,0,0,0
177,001,62535,0,0,0,0
180,001,4290,0,0,0,0
190,001,44246607,0,0,0,11016992
201,001,18982648,0,0,0,0
202,001,98630259,0,0,0,0
203,001,2951392,0,0,0,0
204,001,189592,0,0,0,0
209,001,120753891,0,0,0,0
210,001,165000498,0,0,0,0
220,001,165000498,0,0,0,11016992
002,002,1493799,40707,3467,70891,42562
024,002,2395914,0,0,0,0
025,002,2204,429,0,95,0
074,002,135780,3150,451,1176,0
078,002,5306,417,179,85,0
079,002,8447,697,1490,164,0
085,002,2105013,274940,191930,76218,954256
093,002,108994,6563,9898,2203,288
094,002,55482,610,702,325,0
097,002,2848,280,317,84,0
098,002,31778,3214,5439,816,12644
106,002,5832,146,438,155,158
108,002,67363,2386,3485,746,10029
111,002,26940,344,452,0,12332
113,002,238141,509,1536,1831,0
115,002,15880,0,0,0,0
127,002,44616,0,0,0,0
135,002,2516,0,0,0,0
139,002,17593,0,0,0,0
145,002,0,-334392,0,0,0
146,002,0,0,-219784,0,0
149,002,0,0,0,-5154,0
150,002,2984,0,0,0,0
151,002,0,0,0,-109189,0
154,002,0,0,0,-40446,0
160,002,338386,0,0,0,0
163,002,4779,0,0,0,0
171,002,8681,0,0,0,0
177,002,19489,0,0,0,0
180,002,6671,0,0,0,0
190,002,7145436,0,0,0,1032269
201,002,6868547,0,0,0,0
202,002,5298294,0,0,0,0
203,002,173938,0,0,0,0
