ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,2444969,0,0,942,15
024,001,4217437,0,0,0,0
025,001,933,57,0,11,0
027,001,4085,777,538,229,0
074,001,30689,1695,288,1486,0
078,001,3268,272,253,77,133
079,001,408,27,44,14,80
085,001,4652721,382870,235446,275146,3709842
093,001,129112,6215,8108,2929,4263
094,001,44652,1177,1168,1202,0
097,001,1285,108,130,69,0
098,001,7938,1045,1368,379,3060
102,001,4552,67,138,189,0
106,001,3443,51,125,76,301
108,001,128645,4970,7795,2512,2747
111,001,1109,26,149,15,689
113,001,431523,588,6489,15962,254
115,001,22647,0,0,0,0
123,001,145,0,0,0,0
127,001,9455,0,0,0,0
135,001,18052,0,0,0,0
139,001,31694,0,0,0,0
144,001,175,0,0,0,0
145,001,0,-399945,0,0,0
146,001,0,0,-262039,0,0
149,001,0,0,0,-2305,0
150,001,1575,0,0,0,0
151,001,0,0,0,-133460,0
154,001,0,0,0,-165473,0
160,001,927895,0,0,0,0
177,001,17919,0,0,0,0
180,001,1517,0,0,0,551
190,001,13137843,0,0,0,3721935
201,001,4273072,0,0,0,0
202,001,40227873,0,0,0,0
203,001,588099,0,0,0,0
204,001,142333,0,0,0,0
209,001,45231377,0,0,0,0
210,001,58369220,0,0,0,0
220,001,58369220,0,0,0,0
002,002,353422,1261,707,8963,1511
024,002,2757207,0,0,0,0
025,002,823,41,0,0,0
074,002,104647,5669,901,4869,0
078,002,3004,253,98,72,29
079,002,5152,323,707,196,89
085,002,590876,47487,32322,19326,393231
093,002,105225,4863,6509,2231,2325
094,002,55216,1497,1488,1450,0
097,002,1237,116,110,55,0
098,002,10360,1366,1792,494,3990
106,002,7132,100,258,152,301
108,002,47282,1831,2331,742,12642
111,002,122,3,4,0,49
113,002,29622,98,448,1093,1063
115,002,12596,0,0,0,0
127,002,26261,0,0,0,0
135,002,3628,0,0,0,0
139,002,24837,0,0,0,0
145,002,0,-64908,0,0,0
146,002,0,0,-47675,0,0
149,002,0,0,0,-1328,0
150,002,1735,0,0,0,0
151,002,0,0,0,-27968,0
154,002,0,0,0,-10347,0
160,002,181284,0,0,0,0
163,002,4195,0,0,0,0
171,002,5419,0,0,0,0
177,002,12162,0,0,0,0
180,002,5063,0,0,0,1665
190,002,4348507,0,0,0,416895
201,002,1231406,0,0,0,0
202,002,5478464,0,0,0,0
203,002,59967,0,0,0,0
204,002,9556,0,0,0,0
209,002,6779393,0,0,0,0
210,002,11127900,0,0,0,0
220,002,11127900,0,0,0,0
003,003,13411,88,0,33,0
024,003,94670,0,0,0,0
074,003,3177,47,8,41,0
079,003,433,30,50,14,9
085,003,8839,545,349,650,71
093,003,8321,513,539,207,0
094,003,2528,64,94,0,0
098,003,302,40,53,15,116
108,003,2196,91,143,41,8
111,003,2919,57,153,16,49
113,003,6420,307,99,236,0
115,003,259,0,0,0,0
127,003,105,0,0,0,0
139,003,3724,0,0,0,0
145,003,0,-1782,0,0,0
146,003,0,0,-1488,0,0
149,003,0,0,0,-9,0
151,003,0,0,0,-1097,0
154,003,0,0,0,-147,0
160,003,5348,0,0,0,0
180,003,465,0,0,0,152
190,003,153117,0,0,0,405
201,003,59231,0,0,0,0
202,003,207002,0,0,0,0
203,003,6144,0,0,0,0
204,003,415,0,0,0,0
209,003,272792,0,0,0,0
210,003,425909,0,0,0,0
220,003,425909,0,0,0,0
004,004,511680,397,0,1971,0
024,004,2237311,0,0,0,0
074,004,1831,28,4,26,0
079,004,1693,111,214,67,108
085,004,784975,65725,27919,22031,606867
093,004,3083,136,154,76,1890
094,004,16185,413,397,419,0
098,004,4058,956,922,74,1247
108,004,120793,4672,7309,2367,13781
111,004,13309,321,930,106,4295
113,004,79410,3888,3498,3387,1082
115,004,25117,0,0,0,0
127,004,4425,0,0,0,0
139,004,13261,0,0,0,0
144,004,3003,0,0,0,0
145,004,0,-76647,0,0,0
146,004,0,0,-41347,0,0
149,004,0,0,0,-415,0
150,004,24014,0,0,0,0
151,004,0,0,0,-12911,0
154,004,0,0,0,-17198,0
160,004,199885,0,0,0,0
180,004,1012,0,0,0,294
190,004,4045045,0,0,0,629564
201,004,2561000,0,0,0,0
202,004,9321607,0,0,0,0
203,004,37658,0,0,0,0
204,004,12728,0,0,0,0
209,004,11932993,0,0,0,0
210,004,15978038,0,0,0,0
220,004,15978038,0,0,0,0
005,005,31539,267,0,144,0
024,005,11669,0,0,0,0
074,005,6352,94,16,82,0
079,005,547,41,98,22,9
085,005,38615,1411,957,1688,12787
093,005,1528,77,96,51,0
094,005,4173,168,150,214,0
097,005,13,0,2,1,0
098,005,1222,287,240,17,403
108,005,21817,779,1368,475,262
111,005,216,5,9,2,66
113,005,36,0,0,0,3
115,005,65,0,0,0,0
127,005,9937,0,0,0,0
145,005,0,-3129,0,0,0
146,005,0,0,-2936,0,0
149,005,0,0,0,-72,0
150,005,91,0,0,0,0
151,005,0,0,0,-2205,0
154,005,0,0,0,-419,0
160,005,7845,0,0,0,0
