ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,4005870,0,0,1056,21
024,001,8612205,0,0,0,0
025,001,1574,563,0,107,0
027,001,2881,29,57,86,0
074,001,29391,3886,597,1482,0
078,001,4205,1286,1322,259,0
079,001,368,75,125,19,0
085,001,17985517,2463664,1184612,895488,12624918
093,001,1399025,113649,167086,39225,51405
094,001,102572,12422,14266,6983,0
097,001,1801,649,783,269,0
098,001,15636,5541,7335,1408,427
102,001,3743,298,734,520,0
106,001,1746,191,569,228,575
108,001,763512,14037,25273,5473,0
111,001,75482,3710,20808,1383,42512
113,001,380782,1228,9028,10856,0
115,001,19107,0,0,0,0
127,001,11383,0,0,0,0
135,001,8625,0,0,0,0
139,001,7580,0,0,0,0
144,001,12,0,0,0,0
145,001,0,-2621228,0,0,0
146,001,0,0,-1432595,0,0
149,001,0,0,0,-13237,0
150,001,1901,0,0,0,0
151,001,0,0,0,-381960,0
154,001,0,0,0,-569645,0
160,001,1703420,0,0,0,0
177,001,19916,0,0,0,0
180,001,1372,0,0,0,0
190,001,35159626,0,0,0,12719858
201,001,27509443,0,0,0,0
202,001,50468136,0,0,0,0
203,001,2338354,0,0,0,0
204,001,11262,0,0,0,0
209,001,80327195,0,0,0,0
210,001,115486821,0,0,0,0
002,002,1574443,35598,3033,62012,1470021
024,002,2212712,0,0,0,0
025,002,291,191,0,44,0
074,002,126120,7652,1095,2857,0
078,002,788,430,140,106,0
079,002,1192,568,230,133,0
085,002,2052341,375994,279468,154217,915350
093,002,132471,9254,13774,3060,5068
094,002,40301,750,863,399,0
097,002,362,54,82,90,0
098,002,24664,3778,6255,939,9023
106,002,758,21,29,28,174
108,002,56807,2323,3380,727,0
111,002,3866,464,650,0,2360
113,002,217520,487,1442,1720,0
115,002,12160,0,0,0,0
127,002,36459,0,0,0,0
135,002,466,0,0,0,0
139,002,5903,0,0,0,0
145,002,0,-437564,0,0,0
146,002,0,0,-310441,0,0
149,002,0,0,0,-5878,0
150,002,435,0,0,0,0
151,002,0,0,0,-174327,0
154,002,0,0,0,-46127,0
160,002,213094,0,0,0,0
163,002,674,0,0,0,0
171,002,1257,0,0,0,0
177,002,12748,0,0,0,0
180,002,5944,0,0,0,0
190,002,6733776,0,0,0,2401996
201,002,6206079,0,0,0,0
202,002,4072931,0,0,0,0
203,002,49125,0,0,0,0
204,002,1664,0,0,0,0
209,002,10329799,0,0,0,0
210,002,17063575,0,0,0,0
003,003,37498,4,0,12,0
024,003,110140,0,0,0,0
074,003,1776,23,5,10,0
079,003,220,15,31,3,0
085,003,2421,454,282,380,0
093,003,744,0,0,0,35
094,003,146,4,4,0,0
098,003,248,0,96,0,100
108,003,5052,84,143,31,0
111,003,5260,58,260,19,4221
