ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,974012,0,0,311,0
024,001,778608,0,0,0,0
025,001,1800,102,0,30,0
027,001,12916,1004,472,198,0
074,001,56102,7992,3685,2071,0
078,001,3600,616,230,145,28
079,001,27092,1518,3340,689,535
085,001,1001002,74364,79434,43013,735771
093,001,369347,27063,30051,379,1563
094,001,7517,304,392,82,0
098,001,12993,1985,2462,460,2366
102,001,34764,7355,3479,2150,0
106,001,5761,127,224,176,648
108,001,149044,5477,10202,2203,3855
111,001,7201,426,381,131,3472
113,001,152743,158,0,36,710
115,001,14744,0,0,0,0
123,001,761,0,0,0,0
127,001,39424,0,0,0,0
139,001,26723,0,0,0,0
145,001,0,-128491,0,0,0
146,001,0,0,-134352,0,0
149,001,0,0,0,-2053,0
150,001,800,0,0,0,0
151,001,0,0,0,-34239,0
154,001,0,0,0,-15782,0
160,001,565234,0,0,0,0
163,001,2881,0,0,0,0
177,001,16162,0,0,0,0
180,001,75228,0,0,0,18747
190,001,4336459,0,0,0,767695
201,001,2426794,0,0,0,0
202,001,22435120,0,0,0,0
203,001,1212936,0,0,0,0
204,001,154723,0,0,0,0
209,001,26229573,0,0,0,0
210,001,30566032,0,0,0,767695
002,002,146103,1418,0,331,1740
024,002,300765,0,0,0,0
025,002,172,10,0,3,0
074,002,107350,12793,9551,3872,0
078,002,344,59,21,14,3
079,002,21000,1182,2592,534,447
085,002,31389,2075,1802,772,12686
093,002,71585,5245,5807,2168,861
094,002,4602,187,240,50,0
098,002,18251,2789,3458,646,3324
106,002,1172,26,45,35,132
108,002,11114,409,761,164,2524
111,002,10300,608,542,188,4966
113,002,12830,108,0,25,484
115,002,2746,0,0,0,0
127,002,21788,0,0,0,0
135,002,4998,0,0,0,0
139,002,34258,0,0,0,0
145,002,0,-26909,0,0,0
146,002,0,0,-24819,0,0
149,002,0,0,0,-2505,0
150,002,2380,0,0,0,0
151,002,0,0,0,-4214,0
154,002,0,0,0,-2083,0
158,002,399878,0,0,0,0
160,002,52959,0,0,0,0
163,002,1107,0,0,0,0
177,002,6817,0,0,0,0
180,002,5449,0,0,0,1358
190,002,1269357,0,0,0,28525
201,002,468996,0,0,0,0
202,002,3896910,0,0,0,0
203,002,49857,0,0,0,0
204,002,27386,0,0,0,0
209,002,4443149,0,0,0,0
210,002,5712506,0,0,0,28525
003,003,7594,50,0,3,0
024,003,28927,0,0,0,0
074,003,15409,2195,1012,541,0
079,003,2791,168,344,71,40
085,003,2112,169,140,60,57
093,003,1530,112,123,46,4
094,003,16,0,1,0,0
098,003,442,68,84,16,80
108,003,1070,47,77,15,16
111,003,2017,120,108,45,52
113,003,1041,0,0,0,2
115,003,193,0,0,0,0
127,003,100,0,0,0,0
139,003,1544,0,0,0,0
145,003,0,-2929,0,0,0
146,003,0,0,-1889,0,0
149,003,0,0,0,-98,0
150,003,12,0,0,0,0
151,003,0,0,0,-507,0
154,003,0,0,0,-192,0
160,003,239,0,0,0,0
163,003,908,0,0,0,0
180,003,603,0,0,0,150
190,003,66548,0,0,0,401
201,003,26509,0,0,0,0
202,003,286835,0,0,0,0
203,003,8173,0,0,0,0
204,003,2556,0,0,0,0
209,003,324073,0,0,0,0
210,003,390621,0,0,0,401
004,004,48598,50,0,137,0
024,004,286837,0,0,0,0
074,004,196,28,13,7,0
079,004,2851,171,352,73,41
085,004,37355,3064,2661,1139,18733
093,004,20522,1503,1670,335,127
094,004,535,22,28,6,0
108,004,2292,84,157,34,521
111,004,2390,142,126,44,1152
113,004,3548,30,0,7,134
115,004,1590,0,0,0,0
127,004,3247,0,0,0,0
139,004,4908,0,0,0,0
145,004,0,-5094,0,0,0
146,004,0,0,-5007,0,0
149,004,0,0,0,-110,0
150,004,1129,0,0,0,0
151,004,0,0,0,-1182,0
154,004,0,0,0,-490,0
160,004,8413,0,0,0,0
163,004,417,0,0,0,0
180,004,4390,0,0,0,1094
190,004,429218,0,0,0,21802
201,004,217024,0,0,0,0
202,004,2620762,0,0,0,0
203,004,28526,0,0,0,0
204,004,25470,0,0,0,0
209,004,2891782,0,0,0,0
210,004,3321000,0,0,0,21802
005,005,11107,97,0,84,0
024,005,22526,0,0,0,0
074,005,550,78,36,19,0
079,005,1540,92,190,39,22
085,005,7318,600,521,223,3670
093,005,2284,168,187,69,8
094,005,33,1,2,0,0
097,005,147,0,0,0,0
108,005,1632,60,112,25,370
111,005,2487,193,132,45,1199
113,005,1108,0,0,0,4
115,005,193,0,0,0,0
127,005,200,0,0,0,0
145,005,0,-1289,0,0,0
146,005,0,0,-1180,0,0
149,005,0,0,0,-199,0
150,005,35,0,0,0,0
151,005,0,0,0,-191,0
154,005,0,0,0,-114,0
160,005,225,0,0,0,0
180,005,2514,0,0,0,626
190,005,53899,0,0,0,5899
201,005,40680,0,0,0,0
202,005,311065,0,0,0,0
203,005,15617,0,0,0,0
204,005,2738,0,0,0,0
209,005,370100,0,0,0,0
210,005,423999,0,0,0,5899
006,006,25964,793,731,291,507
024,006,159364,0,0,0,0
074,006,7595,1082,499,267,0
079,006,7672,461,947,195,111
085,006,30038,2464,2140,917,15064
093,006,5430,398,442,482,52
094,006,215,9,11,2,0
097,006,24,0,0,0,0
098,006,773,118,147,27,141
102,006,320,70,33,20,0
108,006,5222,192,358,78,1186
111,006,395,31,21,7,190
113,006,1278,3,0,1,24
115,006,915,0,0,0,0
127,006,1300,0,0,0,0
139,006,3607,0,0,0,0
145,006,0,-5621,0,0,0
146,006,0,0,-5329,0,0
149,006,0,0,0,-166,0
150,006,928,0,0,0,0
151,006,0,0,0,-1470,0
154,006,0,0,0,-651,0
160,006,9645,0,0,0,0
163,006,225,0,0,0,0
177,006,4092,0,0,0,0
180,006,3200,0,0,0,797
190,006,268202,0,0,0,18072
201,006,124695,0,0,0,0
202,006,1478216,0,0,0,0
203,006,41419,0,0,0,0
204,006,21464,0,0,0,0
209,006,1665794,0,0,0,0
210,006,1933996,0,0,0,18072
001,007,21526,0,0,131,0
006,007,13784,421,241,42,0
007,007,569574,36572,45802,30137,373
008,007,7287,549,445,242,0
024,007,118070,0,0,0,0
027,007,10726,888,375,165,0
074,007,4422,630,290,155,0
079,007,61550,3213,7586,1567,1032
084,007,20000,1464,430,335,3375
085,007,499849,59476,63532,16103,286911
093,007,77587,5684,6296,1548,190
094,007,1795,73,94,20,0
097,007,145,0,0,0,0
098,007,5942,450,557,104,536
102,007,440,93,45,27,0
108,007,45412,1669,3109,671,10315
111,007,2450,191,130,44,1181
113,007,13617,115,0,26,514
127,007,4807,0,0,0,0
139,007,5212,0,0,0,0
145,007,0,-111488,0,0,0
146,007,0,0,-128932,0,0
149,007,0,0,0,-1575,0
150,007,9134,0,0,0,0
151,007,0,0,0,-30882,0
154,007,0,0,0,-18795,0
156,007,0,0,0,-65,0
160,007,44704,0,0,0,0
163,007,731,0,0,0,0
