ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,2029719,0,0,271,76
024,001,3961652,0,0,0,0
025,001,880,51,0,18,0
027,001,3465,693,519,450,0
074,001,30733,1388,278,1441,0
078,001,2801,202,181,86,67
079,001,426,28,42,24,129
085,001,3387112,264153,164323,236027,2563804
093,001,107280,4491,5862,2486,2224
094,001,37200,501,590,521,0
097,001,2159,163,247,118,0
098,001,6678,880,1153,600,2049
102,001,3869,57,118,307,0
106,001,2913,42,99,133,252
108,001,106846,4126,6600,3966,2492
111,001,1023,47,113,25,790
113,001,358344,386,1777,9852,65
115,001,18904,0,0,0,0
123,001,452,0,0,0,0
127,001,7983,0,0,0,0
134,001,60,16,12,9,0
135,001,19742,0,0,0,0
139,001,26367,0,0,0,0
144,001,209,0,0,0,0
145,001,0,-277224,0,0,0
146,001,0,0,-181914,0,0
149,001,0,0,0,-4415,0
150,001,1402,0,0,0,0
151,001,0,0,0,-149252,0
154,001,0,0,0,-102667,0
160,001,770360,0,0,0,0
177,001,15010,0,0,0,0
180,001,1319,0,0,0,1294
190,001,10904908,1143,1326,-50,0
201,001,4137600,0,0,0,0
202,001,34327811,0,0,0,0
203,001,629397,0,0,0,0
204,001,209854,0,0,0,0
209,001,39304662,0,0,0,0
210,001,50209570,0,0,0,0
002,002,230227,863,461,713,0
024,002,1800798,0,0,0,0
025,002,546,26,0,0,0
074,002,118554,5250,981,5337,0
078,002,1976,144,54,62,14
079,002,3371,201,417,196,90
085,002,355228,27057,18630,13692,257212
093,002,68554,2755,3690,1485,963
094,002,35980,498,588,491,0
097,002,1550,132,156,70,0
098,002,6766,893,1172,607,3755
106,002,4664,63,157,205,168
108,002,30813,1193,1549,920,8996
111,002,98,4,4,1,64
113,002,19312,51,97,531,213
115,002,8220,0,0,0,0
127,002,17116,0,0,0,0
135,002,3117,0,0,0,0
139,002,16195,0,0,0,0
145,002,0,-39130,0,0,0
146,002,0,0,-27956,0,0
149,002,0,0,0,-1832,0
150,002,1145,0,0,0,0
151,002,0,0,0,-17851,0
154,002,0,0,0,-4627,0
160,002,118094,0,0,0,0
163,002,2748,0,0,0,0
164,002,1368,0,0,0,0
171,002,3551,0,0,0,0
177,002,7938,0,0,0,0
180,002,3314,0,0,0,2936
190,002,2861243,701,835,-30,0
201,002,1034046,0,0,0,0
202,002,3588809,0,0,0,0
203,002,57834,0,0,0,0
204,002,30061,0,0,0,0
209,002,4710750,0,0,0,0
210,002,7571993,0,0,0,0
003,003,25663,169,0,127,0
024,003,242212,0,0,0,0
074,003,7322,91,19,95,0
079,003,831,57,88,46,25
085,003,20069,1176,762,1740,174
093,003,15924,856,898,407,8
094,003,4840,64,111,0,0
098,003,582,78,103,56,72
108,003,4204,175,278,153,18
111,003,5589,220,240,55,117
113,003,12288,466,65,338,0
115,003,498,0,0,0,0
127,003,205,0,0,0,0
139,003,7129,0,0,0,0
145,003,0,-3352,0,0,0
146,003,0,0,-2564,0,0
149,003,0,0,0,-44,0
151,003,0,0,0,-2712,0
154,003,0,0,0,-261,0
160,003,10236,0,0,0,0
180,003,893,0,0,0,790
190,003,358485,218,244,-8,0
201,003,100132,0,0,0,0
202,003,398458,0,0,0,0
203,003,11758,0,0,0,0
204,003,3964,0,0,0,0
209,003,514312,0,0,0,0
210,003,872797,0,0,0,0
004,004,270451,204,0,1904,0
024,004,1705113,0,0,0,0
074,004,1180,15,3,17,0
079,004,918,58,105,56,91
085,004,486262,38587,16582,16083,371918
093,004,1645,64,72,42,646
094,004,8573,112,128,116,0
098,004,2153,508,490,75,0
108,004,63863,2469,3939,2379,7956
111,004,7052,347,402,98,2827
113,004,41993,1622,610,1332,176
115,004,13287,0,0,0,0
127,004,2351,0,0,0,0
139,004,7019,0,0,0,0
144,004,1609,0,0,0,0
145,004,0,-43986,0,0,0
146,004,0,0,-22331,0,0
149,004,0,0,0,-675,0
150,004,12709,0,0,0,0
151,004,0,0,0,-12348,0
154,004,0,0,0,-9079,0
160,004,105655,0,0,0,0
180,004,354,0,0,0,278
190,004,2732187,16,16,-1,0
201,004,1406304,0,0,0,0
202,004,4729919,0,0,0,0
203,004,106592,0,0,0,0
204,004,32533,0,0,0,0
209,004,6275348,0,0,0,0
210,004,9007535,0,0,0,0
005,005,17526,145,0,126,0
024,005,6316,0,0,0,0
074,005,4250,52,11,54,0
079,005,305,22,50,19,8
085,005,19209,666,457,990,6295
093,005,850,38,47,30,9
094,005,2320,48,51,62,0
097,005,15,1,3,2,0
098,005,680,160,134,18,0
108,005,12124,433,775,503,159
111,005,121,5,5,3,56
113,005,21,0,0,0,1
115,005,37,0,0,0,0
127,005,5523,0,0,0,0
145,005,0,-1570,0,0,0
146,005,0,0,-1533,0,0
149,005,0,0,0,-108,0
150,005,52,0,0,0,0
151,005,0,0,0,-1494,0
154,005,0,0,0,-205,0
160,005,4360,0,0,0,0
180,005,220,0,0,0,190
190,005,73929,10,11,-1,0
201,005,38809,0,0,0,0
202,005,248953,0,0,0,0
203,005,9442,0,0,0,0
204,005,611,0,0,0,0
209,005,297815,0,0,0,0
210,005,371744,0,0,0,0
006,006,425753,24535,32717,16173,0
024,006,867901,0,0,0,0
027,006,229,45,34,29,0
074,006,22035,562,103,575,0
079,006,12214,763,1472,633,52
085,006,340432,14918,11370,14155,181911
093,006,107841,4123,5274,2567,75
094,006,14833,202,197,92,0
097,006,163,15,27,8,0
098,006,6847,917,1245,618,230
102,006,1239,38,83,223,0
108,006,71325,2789,4393,2591,10273
111,006,371,23,24,2,74
113,006,18317,661,172,608,11
115,006,2248,0,0,0,0
127,006,2845,0,0,0,0
135,006,2078,0,0,0,0
139,006,6231,0,0,0,0
145,006,0,-49591,0,0,0
146,006,0,0,-57111,0,0
149,006,0,0,0,-1313,0
150,006,2168,0,0,0,0
151,006,0,0,0,-21293,0
154,006,0,0,0,-15668,0
160,006,71974,0,0,0,0
163,006,140,0,0,0,0
177,006,14153,0,0,0,0
180,006,1378,0,0,0,44
190,006,1992715,1049,1193,53,0
201,006,612762,0,0,0,0
202,006,3410798,0,0,0,0
203,006,80828,0,0,0,0
204,006,38816,0,0,0,0
209,006,4143204,0,0,0,0
210,006,6135919,0,0,0,0
001,007,87939,0,0,301,0
006,007,241489,20235,50541,12017,0
017,007,817222,16611,26332,618,27691
024,007,416697,0,0,0,0
027,007,13466,2959,3577,1488,0
049,007,826,21,1,2,0
074,007,46958,2590,362,2647,0
078,007,138,0,0,3,0
079,007,83203,4334,9045,4862,5825
082,007,46,0,0,2,0
084,007,25158,1790,284,979,21960
085,007,1584645,149569,117924,120709,1105863
093,007,219017,8060,8284,5406,459
094,007,47784,645,762,679,0
097,007,10690,1105,2101,623,0
098,007,57260,3763,4919,2542,21477
102,007,937,14,30,75,0
108,007,62080,2408,3835,2313,9907
111,007,2148,138,123,28,1580
113,007,57347,1903,986,1636,388
115,007,445,0,0,0,0
127,007,36408,0,0,0,0
135,007,770,0,0,0,0
139,007,7567,0,0,0,0
145,007,0,-216145,0,0,0
146,007,0,0,-229106,0,0
149,007,0,0,0,-1076,0
150,007,21461,0,0,0,0
151,007,0,0,0,-116751,0
154,007,0,0,0,-38510,0
156,007,0,0,0,-593,0
160,007,212513,0,0,0,0
180,007,710,0,0,0,659
190,007,4054924,2051,1874,-108,0
201,007,1307519,0,0,0,0
202,007,8634018,0,0,0,0
203,007,302011,0,0,0,0
204,007,9202,0,0,0,0
209,007,10252750,0,0,0,0
210,007,14307674,0,0,0,0
001,008,7815,0,0,70,0
010,008,648,13,12,8,0
017,008,527615,13396,23680,399,12006
024,008,518763,0,0,0,0
027,008,6363,1272,1454,812,1541
038,008,965,94,82,4,0
049,008,1417,33,2,3,0
074,008,10098,570,95,1,0
079,008,79445,8834,8104,3897,5799
084,008,5253,365,52,152,4000
085,008,1499532,183435,129885,142674,813192
093,008,355187,14302,15119,7015,7058
094,008,7971,131,170,201,0
097,008,19250,1418,2493,983,0
098,008,96702,17323,22682,9882,43784
102,008,1545,40,85,270,0
108,008,102898,9026,7496,4754,270
111,008,1257,81,71,15,568
113,008,95799,3397,492,2689,577
115,008,7632,0,0,0,0
121,008,1522,67,146,53,0
127,008,47977,0,0,0,0
134,008,3368,149,252,117,0
139,008,3388,0,0,0,0
145,008,0,-253946,0,0,0
146,008,0,0,-212372,0,0
149,008,0,0,0,-2017,0
150,008,10853,0,0,0,0
151,008,0,0,0,-113706,0
154,008,0,0,0,-57948,0
156,008,0,0,0,-328,0
159,008,4976,0,0,0,0
160,008,212513,0,0,0,0
163,008,1033,0,0,0,0
171,008,966,0,0,0,0
180,008,590,0,0,0,0
190,008,3633341,3640,3420,-140,0
201,008,1716127,0,0,0,0
202,008,9609963,0,0,0,0
203,008,490607,0,0,0,0
204,008,40039,0,0,0,0
209,008,11856736,0,0,0,0
210,008,15490077,0,0,0,0
009,009,246469,22492,0,11156,0
024,009,909095,0,0,0,0
027,009,50,10,7,6,0
085,009,584541,51801,28556,31546,407770
093,009,132099,5315,5619,3345,264
094,009,17596,247,272,252,0
097,009,63,6,11,3,0
098,009,542,0,160,32,0
108,009,28973,1117,1790,1095,7273
111,009,1064,69,58,18,149
113,009,65659,651,331,1814,839
115,009,63,0,0,0,0
127,009,9842,0,0,0,0
139,009,1488,0,0,0,0
145,009,0,-81708,0,0,0
146,009,0,0,-36804,0,0
149,009,0,0,0,-2247,0
150,009,39924,0,0,0,0
151,009,0,0,0,-35706,0
154,009,0,0,0,-11314,0
160,009,67672,0,0,0,0
170,009,12402,0,0,0,0
171,009,6354,0,0,0,0
177,009,5270,0,0,0,0
180,009,1367,0,0,0,1324
190,009,2130533,1353,1271,-67,0
201,009,1231351,0,0,0,0
202,009,2280971,0,0,0,0
203,009,108261,0,0,0,0
204,009,18137,0,0,0,0
209,009,3638720,0,0,0,0
210,009,5769253,0,0,0,0
010,010,15786,675,661,830,0
024,010,124138,0,0,0,0
074,010,122,2,0,2,0
079,010,7553,452,931,442,120
085,010,61927,4065,2795,5069,45633
093,010,464,20,19,10,33
094,010,598,8,10,8,0
098,010,32,5,5,2,0
102,010,109,2,3,8,0
108,010,31339,1223,1942,1156,2801
113,010,190,8,2,5,8
115,010,220,0,0,0,0
127,010,3097,0,0,0,0
145,010,0,-6460,0,0,0
146,010,0,0,-6368,0,0
149,010,0,0,0,-26,0
150,010,36,0,0,0,0
151,010,0,0,0,-7195,0
154,010,0,0,0,-311,0
160,010,26498,0,0,0,0
180,010,3785,0,0,0,1390
190,010,275894,5,9,0,0
201,010,288195,0,0,0,0
202,010,1675007,0,0,0,0
203,010,13638,0,0,0,0
204,010,10790,0,0,0,0
209,010,1987630,0,0,0,0
210,010,2263524,0,0,0,0
011,011,10659,0,0,145,0
024,011,31105,0,0,0,0
074,011,908,14,2,19,0
079,011,1053,55,100,50,0
085,011,78328,3830,2862,6059,13561
093,011,35734,1304,1303,886,0
094,011,5422,58,48,50,0
098,011,466,107,52,13,0
102,011,5836,85,180,254,0
108,011,29375,843,1249,712,577
111,011,532,30,25,6,101
113,011,1578,61,7,54,0
127,011,248,0,0,0,0
145,011,0,-6387,0,0,0
146,011,0,0,-5828,0,0
149,011,0,0,0,-74,0
150,011,231,0,0,0,0
151,011,0,0,0,-6779,0
154,011,0,0,0,-1395,0
160,011,10796,0,0,0,0
171,011,39,0,0,0,0
180,011,242,0,0,0,238
190,011,212552,332,295,-18,0
201,011,114516,0,0,0,0
202,011,576965,0,0,0,0
203,011,14062,0,0,0,0
204,011,2295,0,0,0,0
209,011,707838,0,0,0,0
210,011,920390,0,0,0,0
012,012,36725,0,0,87,0
024,012,327984,0,0,0,0
074,012,5,0,0,0,0
079,012,3603,214,408,176,4
085,012,18343,699,445,1070,9069
093,012,10236,319,313,241,15
094,012,183,3,3,3,0
098,012,1784,246,245,18,0
108,012,5615,220,349,204,574
113,012,1163,43,5,27,1
115,012,1032,0,0,0,0
127,012,1365,0,0,0,0
145,012,0,-1744,0,0,0
146,012,0,0,-1768,0,0
149,012,0,0,0,-30,0
151,012,0,0,0,-1616,0
154,012,0,0,0,-180,0
160,012,20943,0,0,0,0
180,012,1557,0,0,0,735
190,012,430538,-292,-471,-5,0
201,012,185092,0,0,0,0
202,012,1142433,0,0,0,0
203,012,20357,0,0,0,0
204,012,7011,0,0,0,0
209,012,1354893,0,0,0,0
210,012,1785431,0,0,0,0
013,013,31219,0,0,272,0
024,013,116549,0,0,0,0
074,013,28410,1354,73,1365,0
079,013,633,41,86,53,22
085,013,253610,14351,12103,14179,159085
093,013,8037,383,414,222,19
094,013,1633,34,42,40,0
097,013,6,0,0,0,0
098,013,2485,326,420,271,96
108,013,24820,943,1528,947,1756
111,013,1753,110,106,25,698
113,013,3994,151,21,113,1
115,013,647,0,0,0,0
127,013,516,0,0,0,0
145,013,0,-17693,0,0,0
146,013,0,0,-14793,0,0
149,013,0,0,0,-293,0
150,013,825,0,0,0,0
151,013,0,0,0,-9344,0
154,013,0,0,0,-7850,0
160,013,18967,0,0,0,0
180,013,2213,0,0,0,1645
190,013,496317,97,93,-4,0
201,013,240477,0,0,0,0
202,013,851840,0,0,0,0
203,013,20855,0,0,0,0
204,013,10208,0,0,0,0
209,013,1123380,0,0,0,0
210,013,1619697,0,0,0,0
001,014,32,0,0,0,0
014,014,103350,0,0,0,0
024,014,45419,0,0,0,0
025,014,829,41,0,29,0
027,014,3139,627,470,406,0
074,014,22423,1282,59,1309,0
079,014,17397,1038,2042,1017,195
085,014,173462,12830,8927,11637,115844
088,014,39101,6686,5415,1179,1162
093,014,25459,911,1012,568,86
094,014,5203,65,72,105,0
097,014,91,6,16,5,0
098,014,9810,711,933,530,225
102,014,87,2,7,9,0
108,014,18168,714,1129,702,879
111,014,2111,76,125,29,1442
113,014,526,23,0,38,3
115,014,1896,0,0,0,0
127,014,143,0,0,0,0
135,014,520,0,0,0,0
139,014,567,0,0,0,0
145,014,0,-25012,0,0,0
146,014,0,0,-20207,0,0
149,014,0,0,0,-161,0
150,014,515,0,0,0,0
151,014,0,0,0,-13099,0
154,014,0,0,0,-4303,0
160,014,16503,0,0,0,0
163,014,428,0,0,0,0
180,014,520,0,0,0,439
190,014,487699,232,229,-11,0
201,014,157834,0,0,0,0
202,014,753975,0,0,0,0
203,014,6564,0,0,0,0
204,014,9021,0,0,0,0
209,014,927394,0,0,0,0
210,014,1415093,0,0,0,0
015,015,1488,164,0,31,0
024,015,26782,0,0,0,0
026,015,76975,5614,4709,799,0
074,015,583,7,1,9,0
079,015,768,45,94,40,8
085,015,46440,2624,1886,3496,21288
093,015,21649,737,1153,505,55
094,015,2487,32,44,78,0
097,015,57,5,5,2,0
098,015,8748,1339,1652,1598,13
108,015,19383,721,1255,795,346
111,015,184,4,8,1,145
113,015,1241,52,0,86,4
115,015,720,0,0,0,0
127,015,244,0,0,0,0
134,015,8,0,0,0,0
145,015,0,-11344,0,0,0
146,015,0,0,-10807,0,0
149,015,0,0,0,-159,0
150,015,439,0,0,0,0
151,015,0,0,0,-5737,0
154,015,0,0,0,-1544,0
160,015,10658,0,0,0,0
180,015,309,0,0,0,247
190,015,219163,188,261,-10,0
201,015,88388,0,0,0,0
202,015,583989,0,0,0,0
203,015,16661,0,0,0,0
204,015,404,0,0,0,0
209,015,689442,0,0,0,0
210,015,908605,0,0,0,0
024,016,200843,0,0,0,0
060,016,1474,0,1,1,0
071,016,61214,279,147,795,0
074,016,719,10,1,16,0
079,016,474,24,46,36,32
084,016,155922,10843,1467,6041,135300
085,016,844058,74721,43076,45317,468963
093,016,1356,58,70,26,157
094,016,7831,201,94,202,0
097,016,2456,240,565,145,0
098,016,6119,812,1059,578,2655
099,016,24076,2294,2956,1578,0
100,016,35795,3540,3915,2077,0
102,016,122,2,3,25,0
107,016,2374,257,12,34,798
108,016,22716,904,1424,795,14367
109,016,354,10,25,9,0
111,016,47267,3274,3090,432,40084
113,016,9419,358,46,252,0
115,016,5699,0,0,0,0
121,016,1461,63,155,46,0
127,016,12437,0,0,0,0
134,016,4675,206,381,109,0
139,016,3525,0,0,0,0
145,016,0,-98096,0,0,0
146,016,0,0,-58533,0,0
148,016,2113,0,0,0,0
149,016,0,0,0,-751,0
150,016,5632,0,0,0,0
151,016,0,0,0,-42398,0
154,016,0,0,0,-15365,0
160,016,129788,0,0,0,0
170,016,524,0,0,0,0
180,016,943,0,0,0,834
190,016,1591386,15,16,-1,0
201,016,1886965,0,0,0,0
202,016,6530159,0,0,0,0
203,016,264630,0,0,0,0
204,016,791765,0,0,0,0
209,016,9473519,0,0,0,0
210,016,11064905,0,0,0,0
001,017,30982,0,0,334,0
010,017,4790,52,0,42,0
017,017,153862,13807,12400,11686,39864
024,017,1632,0,0,0,0
026,017,2478,200,109,46,0
027,017,1502,300,225,193,0
040,017,6424,163,60,3023,0
074,017,12558,559,32,572,0
078,017,9280,623,226,326,43
079,017,30609,1674,3078,1813,152
082,017,66,0,0,3,0
085,017,210953,15080,11779,12218,125808
088,017,821,2,1,20,0
093,017,14716,712,880,295,74
094,017,178,2,3,4,0
097,017,34,3,5,2,0
098,017,43649,5783,7570,3978,2838
099,017,50437,4816,5981,3059,0
102,017,966,15,40,77,0
108,017,10748,410,666,403,2017
111,017,3363,217,189,50,1061
113,017,9915,154,84,252,5
115,017,71,0,0,0,0
127,017,5421,0,0,0,0
134,017,1069,74,167,39,0
135,017,620,0,0,0,0
137,017,12210,0,0,0,0
139,017,6277,0,0,0,0
145,017,0,-44646,0,0,0
146,017,0,0,-43495,0,0
149,017,99,0,0,-208,0
150,017,6391,0,0,0,0
151,017,0,0,0,-32743,0
154,017,0,0,0,-4691,0
156,017,6580,0,0,-793,0
160,017,27354,0,0,0,0
177,017,2478,0,0,0,0
180,017,505,0,0,0,488
190,017,669038,181,199,-6,0
201,017,234020,0,0,0,0
202,017,1340012,0,0,0,0
203,017,45810,0,0,0,0
204,017,1603,0,0,0,0
209,017,1621445,0,0,0,0
210,017,2290483,0,0,0,0
001,018,352332,3504,0,1287,0
002,018,349,0,0,8,0
006,018,3797,227,189,152,0
017,018,866,89,0,38,0
025,018,31,2,0,7,0
027,018,730,146,109,95,0
038,018,48,1,1,7,0
044,018,239,9,18,10,0
049,018,54527,1027,1976,2666,0
061,018,626620,19015,53395,16264,0
074,018,5802,73,15,81,0
079,018,1518,82,164,181,0
088,018,117670,36171,27258,5074,32302
