ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,4557987,0,0,1218,0
024,001,6986357,0,0,0,0
025,001,2717,170,0,31,0
027,001,4173,705,492,144,0
074,001,32902,1853,294,730,0
078,001,5629,535,534,96,0
079,001,679,47,76,14,0
085,001,7466728,649750,405882,310607,6069500
093,001,133977,6946,9332,2087,3866
094,001,98132,2564,2586,1397,0
097,001,1941,166,205,66,0
098,001,16605,2209,4598,541,9110
102,001,4465,84,189,147,0
106,001,4076,74,199,70,372
108,001,222152,9120,14429,3330,4596
111,001,51017,1305,7550,459,40735
113,001,550119,501,3591,4373,0
115,001,30283,0,0,0,0
123,001,97,0,0,0,0
127,001,15575,0,0,0,0
135,001,9294,0,0,0,0
139,001,43873,0,0,0,0
144,001,193,0,0,0,0
145,001,0,-676029,0,0,0
146,001,0,0,-449957,0,0
149,001,0,0,0,-2472,0
150,001,2621,0,0,0,0
151,001,0,0,0,-144112,0
154,001,0,0,0,-178726,0
160,001,2123170,0,0,0,0
177,001,27954,0,0,0,0
180,001,2329,0,0,0,1694
190,001,22395045,0,0,0,6129873
201,001,7256805,0,0,0,0
202,001,64687543,0,0,0,0
203,001,1892722,0,0,0,0
204,001,254656,0,0,0,0
209,001,74091726,0,0,0,0
210,001,96486771,0,0,0,0
220,001,96486771,0,0,0,0
002,002,871814,17646,1012,25241,24415
024,002,3686316,0,0,0,0
025,002,1817,93,0,20,0
074,002,106691,5896,874,2272,0
078,002,3828,367,151,67,0
079,002,6564,440,948,140,0
085,002,965222,82029,56716,22208,802550
093,002,113301,5639,7773,1649,2379
094,002,55246,1484,1499,767,0
097,002,1415,134,130,39,0
098,002,18047,2405,5015,588,9896
106,002,6354,111,311,105,241
108,002,46947,1932,2480,566,12102
111,002,8270,221,298,0,7314
113,002,144551,321,950,1148,0
115,002,12484,0,0,0,0
127,002,32199,0,0,0,0
135,002,1838,0,0,0,0
139,002,25531,0,0,0,0
145,002,0,-118718,0,0,0
146,002,0,0,-78157,0,0
149,002,0,0,0,-1829,0
150,002,2188,0,0,0,0
151,002,0,0,0,-38654,0
154,002,0,0,0,-14327,0
160,002,274643,0,0,0,0
163,002,4080,0,0,0,0
171,002,6242,0,0,0,0
177,002,14076,0,0,0,0
180,002,5807,0,0,0,3814
190,002,6415471,0,0,0,862711
201,002,1904786,0,0,0,0
202,002,8195087,0,0,0,0
203,002,138917,0,0,0,0
204,002,36401,0,0,0,0
209,002,10275191,0,0,0,0
210,002,16690662,0,0,0,0
220,002,16690662,0,0,0,0
003,003,13797,71,0,18,0
024,003,123354,0,0,0,0
074,003,1867,27,4,12,0
079,003,313,22,37,6,0
085,003,4668,303,197,242,1204
093,003,4568,302,326,78,22
094,003,1432,36,53,0,0
098,003,248,32,69,9,39
108,003,1421,61,98,20,5
111,003,1431,29,82,6,116
113,003,2986,96,21,25,0
115,003,145,0,0,0,0
127,003,72,0,0,0,0
139,003,2167,0,0,0,0
145,003,0,-979,0,0,0
146,003,0,0,-887,0,0
149,003,0,0,0,-2,0
151,003,0,0,0,-364,0
154,003,0,0,0,-50,0
160,003,3519,0,0,0,0
180,003,301,0,0,0,197
190,003,162289,0,0,0,1583
201,003,109001,0,0,0,0
202,003,292868,0,0,0,0
203,003,4672,0,0,0,0
204,003,1947,0,0,0,0
209,003,408488,0,0,0,0
210,003,570777,0,0,0,0
220,003,570777,0,0,0,0
004,004,1005291,729,0,3271,0
024,004,2468189,0,0,0,0
074,004,1476,22,3,10,0
079,004,1681,117,223,38,0
085,004,745969,66047,28499,14728,630000
093,004,6536,310,360,112,3077
094,004,8464,214,208,116,0
098,004,4597,1093,1676,58,0
108,004,203571,8367,13203,3062,22497
111,004,18464,485,1421,98,15698
113,004,160261,5240,3065,1470,0
115,004,19469,0,0,0,0
127,004,4221,0,0,0,0
139,004,10649,0,0,0,0
144,004,5401,0,0,0,0
145,004,0,-82624,0,0,0
146,004,0,0,-48658,0,0
149,004,0,0,0,-310,0
150,004,23766,0,0,0,0
151,004,0,0,0,-9711,0
154,004,0,0,0,-12942,0
160,004,471945,0,0,0,0
180,004,896,0,0,0,522
190,004,5160846,0,0,0,671794
201,004,2930147,0,0,0,0
202,004,11131985,0,0,0,0
203,004,161039,0,0,0,0
204,004,34391,0,0,0,0
209,004,14257562,0,0,0,0
210,004,19418408,0,0,0,0
220,004,19418408,0,0,0,0
005,005,57030,427,0,174,0
024,005,17593,0,0,0,0
074,005,8876,133,21,53,0
079,005,939,74,177,21,0
085,005,51610,1993,1373,1588,27754
093,005,2093,112,144,48,35
094,005,4619,184,167,126,0
097,005,19,0,2,1,0
098,005,2395,568,754,23,0
108,005,43036,1632,2892,719,502
111,005,355,8,15,3,230
113,005,110,0,0,0,0
115,005,84,0,0,0,0
127,005,16407,0,0,0,0
145,005,0,-5131,0,0,0
146,005,0,0,-5545,0,0
149,005,0,0,0,-73,0
150,005,153,0,0,0,0
151,005,0,0,0,-2254,0
154,005,0,0,0,-429,0
160,005,12420,0,0,0,0
180,005,606,0,0,0,388
190,005,218345,0,0,0,28909
201,005,99375,0,0,0,0
202,005,550102,0,0,0,0
203,005,23727,0,0,0,0
204,005,429,0,0,0,0
209,005,673633,0,0,0,0
210,005,891978,0,0,0,0
220,005,891978,0,0,0,0
006,006,555812,34683,39003,5215,0
024,006,668030,0,0,0,0
027,006,213,35,26,7,0
074,006,24899,790,115,307,0
079,006,20488,1446,2891,392,0
085,006,355152,17362,13288,8816,248250
093,006,163131,7726,10170,2609,864
094,006,19439,513,427,121,0
097,006,117,10,17,4,0
098,006,13050,1764,3807,428,2050
102,006,1178,45,109,89,0
108,006,89055,3701,5768,1306,11371
111,006,412,14,34,0,321
113,006,44831,1368,552,431,0
115,006,2911,0,0,0,0
127,006,4550,0,0,0,0
135,006,1135,0,0,0,0
139,006,8370,0,0,0,0
145,006,0,-69457,0,0,0
146,006,0,0,-76207,0,0
149,006,0,0,0,-299,0
150,006,3573,0,0,0,0
151,006,0,0,0,-8349,0
154,006,0,0,0,-11077,0
160,006,138713,0,0,0,0
163,006,169,0,0,0,0
177,006,21465,0,0,0,0
180,006,2048,0,0,0,48
190,006,2138741,0,0,0,262904
201,006,824023,0,0,0,0
202,006,4867098,0,0,0,0
203,006,90669,0,0,0,0
204,006,27823,0,0,0,0
209,006,5809613,0,0,0,0
