ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,17293880,0,0,3690,8
024,001,14545692,0,0,0,0
025,001,1578,0,0,72,0
027,001,5883,45,103,128,0
071,001,574,9,0,2,0
074,001,26137,2749,541,1062,0
078,001,4755,1794,1370,223,0
085,001,51429729,8125502,5123672,964668,28881969
088,001,34017,4501,6641,253,0
093,001,9130667,428705,386710,113487,912066
094,001,201789,12248,9511,6699,0
097,001,8169,1701,2211,222,0
098,001,384430,10918,25211,3898,92465
102,001,4260,188,209,49,0
106,001,2164,84,104,67,550
108,001,1789886,79469,149886,15188,0
111,001,107471,3695,9145,453,89997
113,001,2941183,228706,188568,32688,0
116,001,30842,0,0,0,0
127,001,297621,0,0,0,0
134,001,17616,1320,1047,306,0
135,001,63784,0,0,0,0
137,001,329944,0,0,0,0
139,001,362682,0,0,0,0
145,001,0,-8901634,0,0,0
146,001,0,0,-5904929,0,0
149,001,0,0,0,-15400,0
150,001,804114,0,0,0,0
151,001,0,0,0,-456584,0
154,001,0,0,0,-671171,0
159,001,1338697,0,0,0,0
160,001,7749502,0,0,0,0
177,001,22967,0,0,0,0
180,001,1058,0,0,0,0
190,001,108931091,0,0,0,29977055
201,001,56183212,0,0,0,0
202,001,149723196,0,0,0,0
203,001,9648635,0,0,0,0
204,001,1021,0,0,0,0
209,001,215556064,0,0,0,0
210,001,324487155,0,0,0,0
002,002,3540263,70126,5781,68954,116739
022,002,4195,0,0,0,0
024,002,1321168,0,0,0,0
074,002,196911,36145,5441,14229,0
078,002,471,45,86,8,0
079,002,31486,5036,2413,507,0
082,002,604,0,0,0,0
085,002,5131407,1086145,847444,381837,2433946
093,002,531135,52237,67715,10316,52993
094,002,94192,2237,2488,893,0
097,002,204,31,45,5,0
098,002,13843,445,934,159,3334
108,002,193389,14295,20216,3021,0
111,002,2909,90,216,16,2426
113,002,772129,83768,47148,5935,0
127,002,63964,0,0,0,0
134,002,403,0,0,0,0
135,002,2021,0,0,0,0
137,002,32413,0,0,0,0
139,002,4968,0,0,0,0
145,002,0,-1350600,0,0,0
146,002,0,0,-999927,0,0
149,002,0,0,0,-7938,0
150,002,79483,0,0,0,0
151,002,0,0,0,-415210,0
154,002,0,0,0,-62732,0
159,002,109030,0,0,0,0
160,002,858906,0,0,0,0
163,002,298,0,0,0,0
171,002,645,0,0,0,0
177,002,10670,0,0,0,0
180,002,19952,0,0,0,0
190,002,13017059,0,0,0,2609438
201,002,8242308,0,0,0,0
202,002,9321306,0,0,0,0
203,002,1017126,0,0,0,0
204,002,10045,0,0,0,0
209,002,18590785,0,0,0,0
210,002,31607844,0,0,0,0
003,003,29714,22,0,43,0
024,003,39048,0,0,0,0
074,003,634,13,0,6,0
079,003,142,11,14,4,0
085,003,2084,402,263,201,0
093,003,820,54,53,10,82
094,003,84,4,3,1,0
098,003,45,1,1,0,11
108,003,3047,51,112,8,0
111,003,2370,36,184,8,2019
113,003,1621,116,0,18,0
115,003,43,4,0,0,0
127,003,25,0,0,0,0
139,003,86,0,0,0,0
145,003,0,-714,0,0,0
146,003,0,0,-630,0,0
151,003,0,0,0,-255,0
154,003,0,0,0,-44,0
160,003,4773,0,0,0,0
180,003,42,0,0,0,0
190,003,84578,0,0,0,2112
201,003,57833,0,0,0,0
202,003,70070,0,0,0,0
203,003,1261,0,0,0,0
204,003,171,0,0,0,0
209,003,129335,0,0,0,0
210,003,213913,0,0,0,0
004,004,8007187,91831,0,7151,0
024,004,2629250,0,0,0,0
074,004,714,44,0,0,0
079,004,1287,111,77,44,0
085,004,9729817,1606716,773127,594836,4872130
093,004,1368793,170729,182628,44563,139040
094,004,113368,5962,4947,3338,0
097,004,749,78,186,22,0
098,004,16272,431,658,204,3924
108,004,623676,15159,34906,2479,0
111,004,13287,563,1131,43,10594
113,004,650084,51700,35467,11144,0
127,004,26527,0,0,0,0
134,004,39,0,0,0,0
135,004,22270,0,0,0,0
137,004,59714,0,0,0,0
139,004,122356,0,0,0,0
145,004,0,-1943324,0,0,0
146,004,0,0,-1033127,0,0
149,004,0,0,0,-2739,0
150,004,140828,0,0,0,0
151,004,0,0,0,-284151,0
154,004,0,0,0,-376934,0
159,004,226006,0,0,0,0
160,004,1782472,0,0,0,0
162,004,21424,0,0,0,0
180,004,200123,0,0,0,0
190,004,25756243,0,0,0,5025688
201,004,14675675,0,0,0,0
202,004,25387461,0,0,0,0
203,004,1624816,0,0,0,0
204,004,62209,0,0,0,0
209,004,41750161,0,0,0,0
210,004,67506404,0,0,0,0
001,005,202,0,0,0,0
005,005,689148,43567,0,350,191536
017,005,243936,713,0,895,0
024,005,166242,0,0,0,0
049,005,57,1,0,1,0
074,005,29161,338,69,129,0
079,005,4598,590,409,104,0
082,005,108,4,2,1,0
085,005,400762,34794,24029,15424,6401
093,005,32152,2704,2437,1037,3234
094,005,20108,1439,1139,293,0
098,005,18880,466,613,63,4523
102,005,235,7,10,4,0
108,005,92740,5311,10052,1046,0
111,005,2725,47,196,4,2121
113,005,1454,182,0,16,0
127,005,27935,0,0,0,0
134,005,18,0,0,0,0
135,005,1035,0,0,0,0
